Project ID	Project Path	Project Type	Stage	Status	Completion Status	Purpose	Scope	ML1 Authority Statement	Explicit Prohibitions	Last ML1 Review Date
LLP-001	01_ACCOUNTING/LLP-001	Operational	Planning	on track		Govern the accounting fact layer for Levine Law so booked transactions, reconciliations, statements, invoices, payments, and expense records remain historical fact under ML1 authority.	In: historical accounting records, reconciliations, statements, invoices, payments, expense logs, reconciliations, and accounting-to-modeling boundaries; Out: forecasting, scenario modeling, pricing logic, recommendations, optimization, software-replacement work, and strategic judgment.	ML1 is the sole authority for interpretation, exceptions, and any decision derived from accounting records.	No forecasting, scenario modeling, pricing logic, recommendations, optimization, software-replacement drift, or mixing accounting facts with financial models.	2026-05-13
LLP-015	02_PRACTICE_AREAS/LLP-015	Strategic	Unstaged	draft		Placeholder for Corporate practice area initiative.	Inherited domain scope: durable legal operating knowledge (playbooks/checklists/standards); excludes client-specific files and pricing/strategy decisions.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No client-specific matter files; no pricing or strategic decision artifacts.	Not specified
LLP-035	02_PRACTICE_AREAS/LLP-035	Strategic	Unstaged	draft		Placeholder for Contracts practice area initiative.	Inherited domain scope: durable legal operating knowledge (playbooks/checklists/standards); excludes client-specific files and pricing/strategy decisions.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No client-specific matter files; no pricing or strategic decision artifacts.	Not specified
LLP-036	02_PRACTICE_AREAS/LLP-036	Strategic	Unstaged	draft		Placeholder for Financial Services practice area initiative.	Inherited domain scope: durable legal operating knowledge (playbooks/checklists/standards); excludes client-specific files and pricing/strategy decisions.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No client-specific matter files; no pricing or strategic decision artifacts.	Not specified
LLP-004	03_FIRM_OPERATIONS/LLP-004	Operational	Executing	on track		Govern Gate 1 -> Gate 2 onboarding execution so qualified leads become authorized onboarding packets for opening intake.	In: Gate 1 qualification controls, engagement-agreement draft/circulation, Clio `Pending` setup, and Gate 2 readiness packet; Out: post-signing opening and post-open maintenance work.	ML1 is the sole authority for gate activation, exceptions, and promotion from onboarding to opening.	No Gate 2 promotion without ML1 approval; no opening/maintenance execution in this project; no legal delivery before engagement authorization.	2026-03-16
LLP-005	03_FIRM_OPERATIONS/LLP-005	Operational	Executing	on track		Govern Gate 2 -> Gate 3 opening execution so authorized matters become operationally open for maintenance handoff.	In: Gate 2 intake controls, opening checklist completion, financial/record readiness checks, and Gate 3 approval packet; Out: pre-engagement onboarding and post-open maintenance operations.	ML1 is the sole authority for Gate 3 completion approval and transition to maintenance.	No Gate 3 promotion without ML1 approval; no doctrine/policy changes in this project; no maintenance operations before opening completion.	2026-03-16
LLP-006	03_FIRM_OPERATIONS/LLP-006	Operational	Executing	on track		Run the governed matter-maintenance cycle so open matter records remain accurate, reconciled, and action-ready across Clio, SharePoint, Gmail, and related firm systems.	In: recurring reconciliation, exception lists, diff tracking, filing and inbox governance under ML1 controls; Out: autonomous source-of-truth modification without explicit ML1 authorization.	ML1 is the sole authority for exceptions, writeback decisions, and executing-stage control changes.	No source-of-truth writeback without explicit ML1 authorization; no autonomous policy decisions or operational enforcement outside the approved maintenance cycle.	2026-03-18
LLP-007	03_FIRM_OPERATIONS/LLP-007	Operational	Executing	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: internal SOPs and workflows; excludes policy decisions and enforcement without ML1 approval.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No autonomous policy decisions or operational enforcement without explicit ML1 approval.	Not specified
LLP-008	03_FIRM_OPERATIONS/LLP-008	Operational	Planning	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: internal SOPs and workflows; excludes policy decisions and enforcement without ML1 approval.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No autonomous policy decisions or operational enforcement without explicit ML1 approval.	Not specified
LLP-016	03_FIRM_OPERATIONS/LLP-016	Operational	Planning	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: internal SOPs and workflows; excludes policy decisions and enforcement without ML1 approval.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No autonomous policy decisions or operational enforcement without explicit ML1 approval.	Not specified
LLP-042	03_FIRM_OPERATIONS/LLP-042	Management	Initiating	on track		Coordinate firm project flow and provide ML1 with advisory portfolio management outputs.	In: Portfolio flow analysis and sequencing recommendations; Out: Stage approvals.	ML1 is the sole authority for project approvals and sequencing decisions.	No autonomous policy decisions or operational enforcement without explicit ML1 approval.	Not yet reviewed
LLP-043	03_FIRM_OPERATIONS/LLP-043	Management	Planning	on track		Provide ML2-standardized governance artifacts for firm project management.	In: Project stage gate checklist and health rollup tooling; Out: Approving project stages or scope.	ML1 is the sole authority for project approvals and stage advancement.	No autonomous policy decisions or operational enforcement without explicit ML1 approval.	Not yet reviewed
LLP-017	04_RISK/LLP-017	Management	Initiating	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: risk/compliance tracking and doctrine; excludes autonomous compliance declarations or waivers.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No autonomous compliance declarations, issue closure, or control waivers.	Not specified
